Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: cumulative time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.004    0.000   50.303    1.677 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/abstract.py:413(run_search_internal)
       30    0.051    0.002   50.124    1.671 SP/dynesty/sampler.py:920(run_nested)
     6691    0.504    0.000   47.989    0.007 SP/dynesty/sampler.py:599(sample)
     6661    0.340    0.000   42.432    0.006 SP/dynesty/sampler.py:413(_new_point)
    55007    0.273    0.000   32.615    0.001 SP/dynesty/sampler.py:399(_get_point_value)
    55007    2.452    0.000   32.287    0.001 SP/dynesty/sampler.py:336(_fill_queue)
   119178    0.587    0.000   26.534    0.000 SP/dynesty/dynesty.py:905(__call__)
    53878    0.352    0.000   24.318    0.000 SP/dynesty/sampling.py:30(sample_unif)
    59589    0.234    0.000   21.877    0.000 SP/dynesty/utils.py:183(__call__)
    61089    0.172    0.000   21.699    0.000 SP/timeout_decorator/timeout_decorator.py:71(new_function)
    61089    0.070    0.000   21.499    0.000 PyAutoFit/autofit/non_linear/fitness.py:764(__call__)
    61119    0.326    0.000   21.444    0.000 PyAutoFit/autofit/non_linear/fitness.py:552(call_wrap)
    61119    2.420    0.000   19.277    0.000 PyAutoFit/autofit/non_linear/fitness.py:351(call)
    62649    0.570    0.000   10.969    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:990(instance_from_vector)
    55007    0.059    0.000    9.304    0.000 SP/dynesty/sampler.py:294(update_bound_if_needed)
       82    0.003    0.000    9.244    0.113 SP/dynesty/nestedsamplers.py:668(update)
    64220    0.446    0.000    9.185    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1818(instance_for_arguments)
       82    0.006    0.000    9.159    0.112 SP/dynesty/bounding.py:536(update)
  5664/82    0.371    0.000    8.711    0.106 SP/dynesty/bounding.py:1368(_bounding_ellipsoids)
    64220    2.723    0.000    8.020    0.000 PyAutoFit/autofit/mapper/prior_model/prior_model.py:483(_instance_for_arguments)
    12115    0.796    0.000    6.975    0.001 SP/scipy/special/_logsumexp.py:15(logsumexp)
 10826/11    0.084    0.000    6.492    0.590 SP/matplotlib/text.py:65(_get_text_metrics_with_cache)
    413/6    0.010    0.000    6.491    1.082 SP/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
  1771/22    0.022    0.000    6.182    0.281 <frozen importlib._bootstrap>:1349(_find_and_load)
  1729/22    0.017    0.000    6.181    0.281 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1677/23    0.014    0.000    6.170    0.268 <frozen importlib._bootstrap>:911(_load_unlocked)
  1452/23    0.008    0.000    6.168    0.268 <frozen importlib._bootstrap_external>:993(exec_module)
  4033/41    0.011    0.000    6.157    0.150 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1407    0.118    0.000    6.018    0.004 SP/matplotlib/axis.py:1276(_update_ticks)
107861/105294    1.460    0.000    5.999    0.000 {built-in method builtins.sum}
     9661    0.211    0.000    5.887    0.001 SP/dynesty/utils.py:1338(progress_integration)
481330/481315    1.398    0.000    5.760    0.000 PyAutoFit/autofit/mapper/prior_model/attribute_pair.py:6(wrapper)
  793/110    0.003    0.000    5.571    0.051 {built-in method builtins.__import__}
    61119    0.577    0.000    5.403    0.000 PyAutoFit/autofit/example/analysis.py:121(log_likelihood_function)
    506/6    2.100    0.004    4.513    0.752 SP/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
    59589    0.298    0.000    4.485    0.000 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/abstract.py:58(prior_transform)
    12115    1.249    0.000    4.370    0.000 SP/scipy/special/_logsumexp.py:201(_logsumexp)
    61089    0.404    0.000    4.259    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:838(vector_from_unit_vector)
       30    0.001    0.000    4.236    0.141 PyAutoFit/autofit/non_linear/search/updater.py:195(_save_samples)
     5664    0.334    0.000    4.182    0.001 SP/dynesty/bounding.py:1291(bounding_ellipsoid)
       36    0.002    0.000    4.149    0.115 PyAutoFit/autofit/graphical/laplace/optimiser.py:365(optimise)
       36    0.001    0.000    4.147    0.115 PyAutoFit/autofit/graphical/laplace/optimiser.py:272(optimise_approx)
257983/256914    0.362    0.000    3.929    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1339    0.015    0.000    3.915    0.003 SP/matplotlib/axis.py:1585(_get_tick)
    61119    0.847    0.000    3.571    0.000 PyAutoFit/autofit/example/analysis.py:152(model_data_1d_from)
      155    0.002    0.000    3.535    0.023 SP/matplotlib/axes/_base.py:1445(clear)
      155    0.033    0.000    3.532    0.023 SP/matplotlib/axes/_base.py:1313(__clear)
     1129    0.009    0.000    3.478    0.003 SP/dynesty/sampling.py:95(sample_rwalk)
     1129    0.070    0.000    3.466    0.003 SP/dynesty/sampling.py:154(generic_random_walk)
    18598    1.036    0.000    3.452    0.000 SP/scipy/stats/_distn_infrastructure.py:2132(cdf)
 1470/510    0.009    0.000    3.303    0.006 PyAutoFit/autofit/non_linear/samples/interface.py:38(wrapper)
       36    0.000    0.000    3.297    0.092 PyAutoFit/autofit/graphical/laplace/optimiser.py:158(optimise_state)
       36    0.004    0.000    3.297    0.092 PyAutoFit/autofit/graphical/laplace/newton.py:309(optimise_quasi_newton)
        1    0.000    0.000    3.243    3.243 SP/anesthetic/__init__.py:1(<module>)
485820/482427    1.780    0.000    3.150    0.000 PyAutoFit/autofit/mapper/model.py:30(cache)
      110    0.003    0.000    3.130    0.028 SP/matplotlib/figure.py:651(add_subplot)
      110    0.026    0.000    3.120    0.028 SP/matplotlib/axes/_base.py:615(__init__)
        1    0.000    0.000    3.097    3.097 SP/anesthetic/samples.py:1(<module>)
   2986/4    0.091    0.000    3.048    0.762 SP/matplotlib/text.py:926(get_window_extent)
     1339    0.135    0.000    2.990    0.002 SP/matplotlib/axis.py:59(__init__)
      182    0.003    0.000    2.966    0.016 PyAutoFit/autofit/graphical/laplace/newton.py:219(take_quasi_newton_step)
   4836/4    0.384    0.000    2.953    0.738 SP/matplotlib/text.py:358(_get_layout)
     3344    0.047    0.000    2.786    0.001 SP/scipy/_lib/_util.py:291(wrapper)
    61089    0.156    0.000    2.768    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:859(<lambda>)
      182    0.002    0.000    2.749    0.015 PyAutoFit/autofit/graphical/laplace/line_search.py:380(line_search)
     3344    0.605    0.000    2.739    0.001 SP/scipy/cluster/vq.py:648(kmeans2)
       60    0.007    0.000    2.707    0.045 PyAutoFit/autofit/non_linear/search/abstract_search.py:1572(samples_from)
       60    0.032    0.001    2.700    0.045 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/abstract.py:329(samples_via_internal_from)
       60    0.003    0.000    2.690    0.045 PyAutoFit/autofit/non_linear/samples/pdf.py:56(summary)
     1290    0.036    0.000    2.673    0.002 PyAutoFit/autofit/non_linear/samples/samples.py:286(parameters_extract)
     1425    0.799    0.001    2.662    0.002 PyAutoFit/autofit/non_linear/samples/samples.py:257(parameter_lists)
4117601/4116698    1.704    0.000    2.648    0.000 {built-in method builtins.isinstance}
     1467    0.013    0.000    2.640    0.002 SP/matplotlib/axis.py:1644(get_major_ticks)
4075/2105    0.015    0.000    2.625    0.001 PyAutoNerves/autonerves/tools/decorators.py:18(__get__)
   359323    2.614    0.000    2.618    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    61089    0.379    0.000    2.596    0.000 PyAutoFit/autofit/mapper/prior/truncated_gaussian.py:147(value_for)
      143    0.001    0.000    2.565    0.018 PyAutoFit/autofit/graphical/mean_field.py:435(kl)
     1144    0.009    0.000    2.561    0.002 PyAutoFit/autofit/graphical/mean_field.py:447(<genexpr>)
     1001    0.044    0.000    2.520    0.003 PyAutoFit/autofit/messages/truncated_normal.py:312(kl)
     1325    0.002    0.000    2.517    0.002 PyAutoFit/autofit/graphical/laplace/line_search.py:148(gradient)
      412    0.008    0.000    2.512    0.006 PyAutoFit/autofit/graphical/laplace/line_search.py:154(value_gradient)
       30    0.003    0.000    2.509    0.084 SP/anesthetic/plot.py:686(make_2d_axes)
      412    0.017    0.000    2.504    0.006 PyAutoFit/autofit/graphical/mean_field.py:735(func_gradient)
      182    0.005    0.000    2.477    0.014 PyAutoFit/autofit/graphical/laplace/line_search.py:258(line_search_wolfe1)
       30    0.002    0.000    2.456    0.082 SP/anesthetic/plot.py:199(__init__)
      182    0.005    0.000    2.446    0.013 SP/scipy/optimize/_linesearch.py:100(scalar_search_wolfe1)
      182    0.006    0.000    2.438    0.013 SP/scipy/optimize/_dcsrch.py:201(__call__)
   135/45    0.002    0.000    2.425    0.054 SP/matplotlib/_api/deprecation.py:442(wrapper)
       45    0.001    0.000    2.425    0.054 SP/matplotlib/pyplot.py:3261(errorbar)
     6202    0.119    0.000    2.322    0.000 PyAutoFit/autofit/messages/truncated_normal.py:29(log_partition)
      151    0.006    0.000    2.239    0.015 PyAutoFit/autofit/graphical/expectation_propagation/ep_mean_field.py:309(log_evidence)
      450    0.027    0.000    2.233    0.005 PyAutoFit/autofit/non_linear/samples/pdf.py:152(values_at_sigma)
       30    0.008    0.000    2.230    0.074 SP/anesthetic/plot.py:260(_axes_frame)
       51    0.004    0.000    2.176    0.043 PyAutoFit/autofit/graphical/expectation_propagation/diagnostics.py:112(snapshot)
