Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: internal time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64220    2.723    0.000    8.020    0.000 PyAutoFit/autofit/mapper/prior_model/prior_model.py:483(_instance_for_arguments)
   359323    2.614    0.000    2.618    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    55007    2.452    0.000   32.287    0.001 SP/dynesty/sampler.py:336(_fill_queue)
    61119    2.420    0.000   19.277    0.000 PyAutoFit/autofit/non_linear/fitness.py:351(call)
    506/6    2.100    0.004    4.513    0.752 SP/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
    61154    2.087    0.000    2.087    0.000 PyAutoFit/autofit/example/model.py:65(model_data_from)
       80    1.866    0.023    1.866    0.023 {method 'encode' of 'ImagingEncoder' objects}
485820/482427    1.780    0.000    3.150    0.000 PyAutoFit/autofit/mapper/model.py:30(cache)
       15    1.780    0.119    1.781    0.119 {built-in method gc.collect}
4117601/4116698    1.704    0.000    2.648    0.000 {built-in method builtins.isinstance}
    242/0    1.633    0.007    0.000          SP/matplotlib/backends/backend_agg.py:185(draw_text)
107861/105294    1.460    0.000    5.999    0.000 {built-in method builtins.sum}
481330/481315    1.398    0.000    5.760    0.000 PyAutoFit/autofit/mapper/prior_model/attribute_pair.py:6(wrapper)
    12115    1.249    0.000    4.370    0.000 SP/scipy/special/_logsumexp.py:201(_logsumexp)
   284917    1.092    0.000    1.180    0.000 {built-in method numpy.array}
    18598    1.036    0.000    3.452    0.000 SP/scipy/stats/_distn_infrastructure.py:2132(cdf)
    61119    1.025    0.000    1.818    0.000 PyAutoFit/autofit/non_linear/fitness.py:601(manage_quick_update)
    61119    0.847    0.000    3.571    0.000 PyAutoFit/autofit/example/analysis.py:152(model_data_1d_from)
1275694/1274269    0.831    0.000    1.329    0.000 {built-in method builtins.getattr}
   122178    0.829    0.000    1.090    0.000 PyAutoFit/autofit/mapper/prior/_erf_helpers.py:17(_norm_cdf)
2175963/2174688    0.828    0.000    1.618    0.000 {built-in method builtins.hasattr}
     1425    0.799    0.001    2.662    0.002 PyAutoFit/autofit/non_linear/samples/samples.py:257(parameter_lists)
    12115    0.796    0.000    6.975    0.001 SP/scipy/special/_logsumexp.py:15(logsumexp)
     4466    0.773    0.000    1.092    0.000 SP/matplotlib/lines.py:758(draw)
531330/531060    0.643    0.000    0.665    0.000 {built-in method numpy.asarray}
    33440    0.641    0.000    1.707    0.000 SP/scipy/cluster/vq.py:150(vq)
